#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
vball;U.S. Championship V'ball (US);mame;;1988;Technos Japan;Sports / Volleyball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
vendetta;Vendetta (World, 4 Players, ver. T);mame;;1991;Konami;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
vsbball;Vs. Baseball (US, set BA E-1);mame;;1984;Nintendo of America;Sports / Baseball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;2;;;0;;1
iceclmrd;Vs. Ice Climber Dual (set IC4-4 A-1);mame;;1984;Nintendo;Platform / Run Jump;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;2;;;0;;1
vstennis;Vs. Tennis (Japan/USA, set TE A-3);mame;;1984;Nintendo Co., Ltd.;Sports / Tennis;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;2;raster;;;;2;;;0;;1
warlords;Warlords;mame;;1980;Atari;Ball & Paddle / Breakout;4P sim;0;paddle,paddle,paddle,paddle;good;1;raster;;;;1;;;0;;1
wg3dh;Wayne Gretzky's 3D Hockey (ver 1.3);mame;;1996;Atari Games;Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;chd;4;;;0;;1
moomesa;Wild West C.O.W.-Boys of Moo Mesa (ver EAB);mame;;1992;Konami;Platform / Shooter Scrolling;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
wbeachvl;World Beach Volley (set 1, PIC16C57 audio CPU);mame;;1995;Playmark;Sports / Volleyball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
wsf;World Soccer Finals (rev 4);mame;;1990;Leland Corporation;Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
wwfwfest;WWF WrestleFest (World);mame;;1991;Technos Japan (Tecmo license);Sports / Wrestling;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
xmen;X-Men (4 Players ver EBA);mame;;1992;Konami;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
zeroteam;Zero Team USA (US);mame;;1993;Seibu Kaihatsu (Fabtek license);Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;;;;3;;;0;;1
MameCategories;MameCategories;@;;;;;;
